"Group","Sex","Temperature","Humidity","Comments","Date","Fungal_Growth"
"NMC","m",25,60,"",2023-04-20,0
"NMC","m",25,60,"",2023-04-21,0
"NMC","m",25,60,"",2023-04-22,0
"NMC","m",25,60,"",2023-04-23,0
"NMC","m",25,60,"",2023-04-24,0
"NMC","m",25,60,"",2023-04-25,0
"NMC","m",25,60,"",2023-04-26,0
"NMC","m",25,60,"",2023-04-27,0
"NMC","m",25,60,"",2023-04-28,0
"NMC","m",25,60,"",2023-04-29,2
"NMC","m",25,60,"",2023-04-30,2
"NMC","m",25,60,"",2023-05-01,3
"NMC","m",25,60,"",2023-05-02,3
"NMC","m",25,60,"",2023-05-03,8
"NMC","m",25,60,"",2023-05-04,8
"NMC","m",25,60,"",2023-05-05,NA
"NMC","m",25,60,"",2023-05-06,NA
"NMC","m",25,60,"",2023-05-07,NA
"NMC","m",25,60,"",2023-05-08,12
"NMC","m",25,60,"",2023-05-09,NA
"NMC","m",25,60,"",2023-05-10,NA
"NMC","m",25,60,"",2023-05-11,NA
"NMC","m",25,60,"",2023-05-12,17
"NMC","m",25,60,"",2023-05-13,NA
"NMC","m",25,60,"",2023-05-14,NA
"NMC","m",25,60,"",2023-05-15,NA
"NMC","m",25,60,"",2023-05-16,18
"NMC","m",25,60,"",2023-05-17,NA
"NMC","m",25,60,"",2023-05-18,NA
"NMC","m",25,60,"",2023-05-19,25
"NMC","m",25,60,"",2023-05-20,NA
"NMC","m",25,60,"",2023-05-21,NA
"NMC","m",25,60,"",2023-05-22,29
"NMC","m",25,60,"",2023-05-23,NA
"NMC","m",25,60,"",2023-05-24,NA
"NMC","m",25,60,"",2023-05-25,27
"NMC","m",25,60,"",2023-05-26,NA
"NMC","m",25,60,"",2023-05-27,NA
"NMC","m",25,60,"",2023-05-28,NA
"NMC","m",25,60,"",2023-05-29,NA
"NMC","m",25,60,"",2023-05-30,NA
"NMC","m",25,60,"",2023-05-31,27
"NMC","m",25,60,"",2023-06-01,NA
"NMC","m",25,60,"",2023-06-02,NA
"NMC","m",25,60,"",2023-06-03,NA
"NMC","m",25,60,"",2023-06-04,NA
"NMC","m",25,60,"",2023-06-05,NA
"NMC","m",25,60,"",2023-06-06,45
"NMC","m",25,60,"",2023-06-07,NA
"NMC","m",25,60,"",2023-06-08,NA
"NMC","m",25,60,"",2023-06-09,NA
"NMC","m",25,60,"",2023-06-10,NA
"NMC","m",25,60,"",2023-06-11,NA
"NMC","m",25,60,"",2023-06-12,87
"NMC","m",25,60,"",2023-06-13,NA
"NMC","m",25,60,"",2023-06-14,NA
"NMC","m",25,60,"",2023-06-15,NA
"NMC","m",25,60,"",2023-06-16,NA
"NMC","m",25,60,"",2023-06-17,NA
"NMC","m",25,60,"",2023-06-18,NA
"NMC","m",25,60,"",2023-06-19,97
"NMC","m",25,60,"",2023-06-20,NA
"NMC","m",25,60,"",2023-06-21,NA
"NMC","m",25,60,"",2023-06-22,NA
"NMC","m",25,60,"",2023-06-23,NA
"NMC","m",25,60,"",2023-06-24,NA
"NMC","m",25,60,"",2023-06-25,NA
"NMC","m",25,60,"",2023-06-26,NA
"NMC","m",25,60,"",2023-06-27,100
"NMC","m",25,60,"",2023-06-28,NA
"NMC","m",25,60,"",2023-06-29,NA
"NMC","m",25,60,"",2023-06-30,NA
"NMC","m",25,60,"",2023-07-01,NA
"NMC","m",25,60,"",2023-07-02,NA
"NMC","m",25,60,"",2023-07-03,NA
"NMC","m",25,60,"",2023-07-04,NA
"NMC","m",25,60,"",2023-07-05,NA
"NMC","m",25,60,"",2023-07-06,NA
"NMC","m",25,60,"",2023-07-07,NA
"NMC","m",25,60,"",2023-07-08,NA
"NMC","m",25,60,"",2023-07-09,NA
"NMC","m",25,60,"",2023-07-10,NA
"NMC","m",25,60,"",2023-07-11,NA
"NMC","m",25,60,"",2023-07-12,NA
"NMC","m",25,60,"",2023-07-13,NA
"NMC","m",25,60,"",2023-07-14,NA
"NMC","m",25,60,"",2023-07-15,NA
"NMC","m",25,60,"",2023-07-16,NA
"NMC","m",25,60,"",2023-07-17,NA
"NMC","m",25,60,"",2023-07-18,NA
"NMC","m",25,60,"",2023-07-19,NA
"NMC","m",25,60,"",2023-07-20,NA
"NMC","m",25,60,"",2023-07-21,NA
"NMC","m",25,60,"",2023-07-22,NA
"NMC","m",25,60,"",2023-07-23,NA
"NMC","m",25,60,"",2023-07-24,NA
"NMC","m",25,60,"",2023-07-25,NA
"NMC","m",25,60,"",2023-07-26,NA
"NMC","m",25,60,"",2023-07-27,NA
"NMC","m",25,60,"",2023-07-28,NA
"NMC","m",25,60,"",2023-07-29,NA
"NMC","m",25,60,"",2023-07-30,NA
"NMC","m",25,60,"",2023-07-31,NA
"NMC","m",25,60,"",2023-08-01,NA
"NMC","m",25,60,"",2023-08-02,NA
"NMC","m",25,60,"",2023-08-03,NA
"NMC","m",25,60,"",2023-08-04,NA
"NMC","m",25,60,"",2023-08-05,NA
"NMC","m",25,60,"",2023-08-06,NA
"NMC","m",25,60,"",2023-08-07,NA
"NMC","m",25,60,"",2023-08-08,NA
"NMC","m",25,60,"",2023-08-09,NA
"NMC","m",25,60,"",2023-08-10,NA
"NMC","m",25,60,"",2023-08-11,NA
"NMC","m",25,60,"",2023-08-12,NA
"NMC","m",25,60,"",2023-08-13,NA
"NMC","m",25,60,"",2023-08-14,NA
"NMC","m",25,60,"",2023-08-15,NA
"NMC","m",25,60,"",2023-08-16,NA
"NMC","m",25,60,"",2023-08-17,NA
"NMC","m",25,60,"",2023-08-18,NA
"NMC","m",25,60,"",2023-08-19,NA
"NMC","m",25,60,"",2023-08-20,NA
"NMC","m",25,60,"",2023-08-21,NA
"NMC","m",25,60,"",2023-08-22,NA
"NMC","m",25,60,"",2023-08-23,NA
"NMC","m",25,60,"",2023-08-24,NA
"NMC","m",25,60,"",2023-08-25,NA
"NMC","m",25,60,"",2023-08-26,NA
"NMC","m",25,60,"",2023-08-27,NA
