id,uuid,observed_on_string,observed_on,Month,Year,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name
52411903,06490b6e-7317-4284-908a-7afa384ab5fc,2019/08/01 12:40 PM EDT,2019-08-01,August,2019,2019-08-01 16:40:00 UTC,Eastern Time (US & Canada),3298214,marieliseb,Marie-Lise Beaudin,2020-07-08 22:07:51 UTC,2023-01-29 11:35:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/52411903,https://inaturalist-open-data.s3.amazonaws.com/photos/83264249/medium.jpg,,,,6,2,FALSE,,"Châteauguay, QC, Canada",45.3476633397,-73.7711200008,31,,,,31,,,FALSE,,,"Châteauguay, Qc - Défi nature urbaine",Roussillon,Hesperomyces harmoniae,Hesperomyces harmoniae,,Fungi
84511152,6ae4fcbf-8818-48cd-a42d-45945f94baa6,2021/06/25 12:44 PM EDT,2021-06-25,June,2021,2021-06-25 16:44:00 UTC,Eastern Time (US & Canada),3267913,ornitholarocque,,2021-06-26 04:43:12 UTC,2022-12-22 17:28:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/84511152,https://inaturalist-open-data.s3.amazonaws.com/photos/138911392/medium.jpeg,,,,3,0,FALSE,,"330 Rang des Vingt Cinq E, Saint-Bruno-de-Montarville, QC J3V 4P6, Canada",45.546267,-73.342501,177,,,,177,,,FALSE,,,,La Vallée-du-Richelieu,Hesperomyces harmoniae,Hesperomyces harmoniae,,Fungi
87665579,9b8d1780-f5c4-437d-b54b-385c2da44532,2021-07-18 19:04:21,2021-07-18,July,2021,2021-07-18 23:04:21 UTC,Eastern Time (US & Canada),117695,jsaguez,,2021-07-19 03:14:39 UTC,2023-01-01 12:26:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/87665579,https://inaturalist-open-data.s3.amazonaws.com/photos/144560336/medium.jpeg,,,,4,1,FALSE,2,"Notre-Dame-Auxiliatrice, Saint-Jean-sur-Richelieu, QC, Canada",45.3159564961,-73.2521987334,288,,,,288,,,FALSE,gps,gps,,Le Haut-Richelieu,Hesperomyces harmoniae,Hesperomyces harmoniae,,Fungi
90177637,96dd1a27-7d98-44b9-a0dc-4abb00f36af8,2021-08-06 13:38:40,2021-08-06,August,2021,2021-08-06 17:38:40 UTC,Eastern Time (US & Canada),3198570,aterrigeol,Alexandre Terrigeol,2021-08-06 19:23:22 UTC,2023-01-01 12:40:27 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/90177637,https://inaturalist-open-data.s3.amazonaws.com/photos/149006195/medium.jpeg,,,,3,0,FALSE,2,"Saint-Joseph-de-la-Pointe-de-Lévy, Lévis, QC, Canada",46.7791670833,-71.0223243333,,,,,,,,FALSE,gps,gps,,Desjardins,Hesperomyces harmoniae,Hesperomyces harmoniae,,Fungi
92119062,e6437373-3175-4d28-be34-b00d1e265fc9,2021/08/19 6:08 PM HST,2021-08-19,August,2021,2021-08-20 04:08:00 UTC,Hawaii,2474444,mikkio,,2021-08-22 16:17:36 UTC,2023-01-01 19:32:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/92119062,https://inaturalist-open-data.s3.amazonaws.com/photos/152470891/medium.jpeg,,,,2,0,FALSE,,"Chelsea, QC, Canada",45.5311251935,-75.8665466309,1953,,,,1953,,,FALSE,,,,Les Collines-de-l'Outaouais,Hesperomyces harmoniae,Hesperomyces harmoniae,,Fungi
95850949,d1c9c1ef-e743-4775-8014-0f644f4b3d4f,2021/09/17 9:00 AM EDT,2021-09-17,September,2021,2021-09-17 13:00:00 UTC,Eastern Time (US & Canada),2127159,see-em,,2021-09-23 13:41:17 UTC,2023-01-01 13:16:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/95850949,https://inaturalist-open-data.s3.amazonaws.com/photos/159173601/medium.jpeg,,,,3,0,FALSE,,"Gracefield, QC, Canada",46.09272,-76.053301,1631,,,,1631,,,FALSE,,,,La Vallée-de-la-Gatineau,Hesperomyces harmoniae,Hesperomyces harmoniae,,Fungi
121736697,cb4a5f2a-8edc-4ffc-956e-635076a7f2ec,2022/06/12 14:32,2022-06-12,June,2022,2022-06-12 18:32:00 UTC,Eastern Time (US & Canada),4804252,jaellerivard,Jaëlle Rivard,2022-06-14 14:35:04 UTC,2023-06-29 16:06:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/121736697,https://static.inaturalist.org/photos/206036678/medium.jpg,,,,3,0,FALSE,,"Portneuf, QC, Canada",46.6883248903,-71.8892684608,31,,,,31,,,FALSE,,,,Portneuf,Hesperomyces harmoniae,Hesperomyces harmoniae,,Fungi
122393748,a0b95442-0501-4ca8-acd5-3b475d693d44,2022-06-18 17:48:12,2022-06-18,June,2022,2022-06-18 21:48:12 UTC,Eastern Time (US & Canada),3278920,justinrousseau,Justin Rousseau,2022-06-18 23:27:56 UTC,2024-08-30 13:59:12 UTC,research,CC-BY,https://www.inaturalist.org/observations/122393748,https://inaturalist-open-data.s3.amazonaws.com/photos/207219194/medium.jpeg,,,Parasiting Harmonia axyridis,3,0,FALSE,2,"Montréal, QC H2E 2Y4, Canada",45.552947,-73.6011979722,,,,,,,,FALSE,,,,Communauté-Urbaine-de-Montréal,Hesperomyces harmoniae,Hesperomyces harmoniae,,Fungi
122942353,545ee2a5-cbec-4352-aec5-2f81ef5cf2a7,2022-06-20 17:54:32,2022-06-20,June,2022,2022-06-20 21:54:32 UTC,Eastern Time (US & Canada),1980298,lantinantoine,Antoine Lantin,2022-06-22 13:14:54 UTC,2023-01-09 13:52:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/122942353,https://inaturalist-open-data.s3.amazonaws.com/photos/208216304/medium.jpeg,,,,3,0,FALSE,2,"Québec, QC G1L 4W6, Canada",46.8254597437,-71.2382064387,3,,,,3,,,FALSE,gps,gps,,Communauté-Urbaine-de-Québec,Hesperomyces harmoniae,Hesperomyces harmoniae,,Fungi
127179564,82ae6671-da0d-4eda-bc0f-300ed441898e,2022/07/20 22:30,2022-07-20,July,2022,2022-07-21 02:30:00 UTC,Eastern Time (US & Canada),3150281,louischevrier,Louis Chevrier,2022-07-21 03:18:49 UTC,2023-01-09 13:56:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/127179564,https://inaturalist-open-data.s3.amazonaws.com/photos/215883781/medium.jpeg,,,,4,1,FALSE,,"Saint-Sauveur, QC J0R, Canada",45.8995939151,-74.1582266264,244,,,,244,,,FALSE,,,,Les Pays-d'en-Haut,Hesperomyces harmoniae,Hesperomyces harmoniae,,Fungi
127677855,55cd9075-3c38-4c2f-b8d1-a5bdbdede081,2022/06/13 4:20 PM,2022-06-13,June,2022,2022-06-13 20:20:00 UTC,Eastern Time (US & Canada),776355,wconn88,Wendy Conn,2022-07-24 14:31:01 UTC,2023-01-09 13:57:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/127677855,https://inaturalist-open-data.s3.amazonaws.com/photos/216785739/medium.jpeg,,,"this is iNaturalist's suggestion, rather than an asian beetle",2,0,FALSE,,"West Bolton, Quebec, QC J0E 2T0, Canada",45.2435029,-72.454758,1527,,,,1527,,,FALSE,,,,Brome-Missisquoi,Hesperomyces harmoniae,Hesperomyces harmoniae,,Fungi
128609621,9561b8d6-91b4-4d0e-bc5a-5b6edb2244c9,2022/07/30 10:31,2022-07-30,July,2022,2022-07-30 14:31:00 UTC,Eastern Time (US & Canada),5782874,pierroxgoum,Michel Goulet,2022-07-30 14:32:29 UTC,2023-01-09 15:18:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/128609621,https://inaturalist-open-data.s3.amazonaws.com/photos/218470111/medium.jpg,,,,2,0,FALSE,,"Pierrefonds, Montréal, QC, Canada",45.4714627558,-73.9320337473,94,,,,94,,,FALSE,,,,Communauté-Urbaine-de-Montréal,Hesperomyces harmoniae,Hesperomyces harmoniae,,Fungi
128964261,c7393536-ef40-4aad-ba98-ff7c9310c12e,2022-08-01 07:27:48,2022-08-01,August,2022,2022-08-01 11:27:48 UTC,Eastern Time (US & Canada),2089532,jean3075,Jean C.,2022-08-01 12:32:30 UTC,2023-08-11 20:56:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/128964261,https://inaturalist-open-data.s3.amazonaws.com/photos/219107764/medium.jpeg,,,,2,0,FALSE,2,"Longueuil, QC J4L 2Z9, Canada",45.50836,-73.460885,,,,,,,,FALSE,,,,Champlain,Hesperomyces harmoniae,Hesperomyces harmoniae,,Fungi
132184482,89672683-6513-4a40-9247-951d0b4c74fb,2022/08/17 10:40 PM,2022-08-17,August,2022,2022-08-18 02:40:00 UTC,Eastern Time (US & Canada),2742914,ellyne,Ellyne Geurts,2022-08-24 20:07:43 UTC,2023-06-17 14:27:35 UTC,research,CC0,https://www.inaturalist.org/observations/132184482,https://inaturalist-open-data.s3.amazonaws.com/photos/224432119/medium.jpeg,,,For the fungus on the back of the elytra ,4,0,FALSE,,"Mile End, Montreal, QC, Canada",45.5238320861,-73.5987690856,43,,,,43,,,FALSE,,,,Communauté-Urbaine-de-Montréal,Hesperomyces harmoniae,Hesperomyces harmoniae,,Fungi
