"observed_on","url","latitude","longitude","scientific_name","Year","Month"
2009-06-05,"https://www.inaturalist.org/observations/105049134",46.3990477588,-72.6608518492,"New_observation_inat","2009","June"
2011-08-14,"https://www.inaturalist.org/observations/104057195",45.319914869,-72.222603988,"New_observation_inat","2011","August"
2014-08-04,"https://www.inaturalist.org/observations/51045500",45.4309406623,-73.7406097831,"New_observation_inat","2014","August"
2015-07-21,"https://www.inaturalist.org/observations/9659723",46.014012,-73.4177961,"New_observation_inat","2015","July"
2018-08-07,"https://www.inaturalist.org/observations/135441655",45.2632113374,-72.1467073625,"New_observation_inat","2018","August"
2018-08-19,"https://www.inaturalist.org/observations/197756967",45.5936701498,-73.5680714725,"New_observation_inat","2018","August"
2018-08-29,"https://www.inaturalist.org/observations/16213602",45.4777052249,-73.8276868747,"New_observation_inat","2018","August"
2019-02-26,"https://www.inaturalist.org/observations/20792318",45.310749752,-73.223300522,"New_observation_inat","2019","February"
2019-04-17,"https://www.inaturalist.org/observations/22622516",45.5050253175,-73.5780523251,"New_observation_inat","2019","April"
2019-08-15,"https://www.inaturalist.org/observations/131526431",45.4061737059,-73.9350671995,"New_observation_inat","2019","August"
2019-08-15,"https://www.inaturalist.org/observations/131526432",45.4061737059,-73.9350671995,"New_observation_inat","2019","August"
2019-08-31,"https://www.inaturalist.org/observations/31870689",45.3911111111,-75.8513888889,"New_observation_inat","2019","August"
2019-09-13,"https://www.inaturalist.org/observations/32645383",45.36498037,-71.84870252,"New_observation_inat","2019","September"
2019-10-21,"https://www.inaturalist.org/observations/34700703",45.36598752,-71.84754235,"New_observation_inat","2019","October"
2019-10-22,"https://www.inaturalist.org/observations/34750769",45.36641166,-71.84865376,"New_observation_inat","2019","October"
2019-10-28,"https://www.inaturalist.org/observations/35017542",45.36602329,-71.8496969,"New_observation_inat","2019","October"
2020-06-22,"https://www.inaturalist.org/observations/50628266",45.5047730556,-73.5839263889,"New_observation_inat","2020","June"
2020-07-16,"https://www.inaturalist.org/observations/53392436",46.8781461606,-71.2195019097,"New_observation_inat","2020","July"
2020-07-19,"https://www.inaturalist.org/observations/53684357",45.4048151828,-73.9367263019,"New_observation_inat","2020","July"
2020-08-07,"https://www.inaturalist.org/observations/55751810",45.7156349,-73.6467172,"New_observation_inat","2020","August"
2020-08-09,"https://www.inaturalist.org/observations/57925585",45.6744768853,-75.6632052483,"New_observation_inat","2020","August"
2020-08-10,"https://www.inaturalist.org/observations/56129286",45.6180115917,-73.5499990823,"New_observation_inat","2020","August"
2020-08-12,"https://www.inaturalist.org/observations/57584005",45.451195,-73.81006667,"New_observation_inat","2020","August"
2020-08-15,"https://www.inaturalist.org/observations/56541047",45.5098739831,-73.5326225896,"New_observation_inat","2020","August"
