3T_,consecutive fly ID,unique 3T identifier,Bat voucher,Bat family,Bat genus,Bat species epithet,Bat species,Bat identified by,Sex,"Age (J = juvenile, A = adult, SA = subadult)",Reproductive status,Body mass,Forearm,Bat genetic information,Diet,Roosting ecology,Bat flies?,Bat fly family,Bat fly genus,Bat fly species epithet,Bat fly species,Bat fly identified by,Bat fly sex,Bat fly ecomorphology,Bat fly ecology,Bat fly wing,Laboul infection?,Double infection?,Laboul genus 1,Laboul species 1,Position(s) infected 1,Laboul genus 2,Laboul species 2,Position(s) infected 2,Laboul(s) identified by,Country,Territory,Settlement,Location,Open/Close,Latitude,Longitude,Climate zone,Day,Month,Year,Contact <email>,Comments,Screened by,Voucher slides,Isolate,Sequences,Reference
3T_,1,3T_00001,JJC tube # 1,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,M,wing crawler,oligoxenous,full developed,infected,,Gloeandromyces,pageanus f. polymorphus,different body parts,,,,Danny Haelewaters,Trinidad,,,"10°28'01.7""N 61°12'09.3""W",,10.47138889,-61.22583333,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 1 {first host specimen for thalli used in extraction DH619a},Danny Haelewaters,,DH619a,"SSU, LSU",
3T_,2,3T_00002,JJC tube # 1,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,M,wing crawler,oligoxenous,full developed,infected,,Gloeandromyces,pageanus f. polymorphus,different body parts,,,,Danny Haelewaters,Trinidad,,,"10°28'01.7""N 61°12'09.3""W",,10.47138889,-61.22583333,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 1 {second host specimen for thalli used in extraction DH619a},Danny Haelewaters,,DH619a,"SSU, LSU",
3T_,3,3T_00003,JJC tube # 1,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,infected,,Gloeandromyces,streblae f. streblae,left tibia II,,,,Danny Haelewaters,Trinidad,,,"10°28'01.7""N 61°12'09.3""W",,10.47138889,-61.22583333,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 1,Danny Haelewaters,DH599a,,,
3T_,4,3T_00004,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,5,3T_00005,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,6,3T_00006,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,7,3T_00007,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,8,3T_00008,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,9,3T_00009,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,10,3T_00010,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,11,3T_00011,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,12,3T_00012,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,13,3T_00013,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,M,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,14,3T_00014,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,M,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,15,3T_00015,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,16,3T_00016,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,17,3T_00017,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,18,3T_00018,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,19,3T_00019,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,20,3T_00020,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,21,3T_00021,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,22,3T_00022,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,M,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
