id,observed_on_string,observed_on,Unnamed: 3,year,time_observed_at,time_zone,user_id,user_login,Source,created_at,updated_at,quality_grade,license,url,image_url,place_guess,latitude,longitude,species_guess,scientific_name,common_name,taxon_id,combined lat and long
,"Jun 10, 20179:27 PM EDT",6/7/17 0:00,,2017,12:52 PM EDT,Eastern Time (US & Canada),,srall,iNaturalist,"Jun 10, 20179:27 PM EDT",,,,www.inaturalist.org/observations/6584427,https://static.inaturalist.org/photos/8346387/medium.jpeg?1497123420,"Bedminster Township, NJ, USA",40.6675,74.64596,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"40.6675,74.64596"
,"Jun 6, 20175:31 PM PDT",6/3/17 0:00,,2017,07:58 PM PDT,Pacific Daylight Time,,psyllidhipster,iNaturalist,"Jun 6, 20175:31 PM PDT",,,,www.inaturalist.org/observations/6528794,https://static.inaturalist.org/photos/8271424/medium.jpeg?1496794608,"Kern County, CA, USA",35.0366,18.76968,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"35.0366,18.76968"
,"Jun 4, 20172:28 PM EDT",########,,2017,12:11 PM EDT,Eastern Time (US & Canada),,srall,iNaturalist,"Jun 4, 20172:28 PM EDT",,,,www.inaturalist.org/observations/6496118,https://static.inaturalist.org/photos/8219131/medium.jpeg?1496597525,"Bound Brook, NJ 08805, USA",40.56037,74.52893,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"40.56037,74.52893"
,"May 17, 20179:32 AM PDT",########,,2017,12:52 PM PDT,Pacific Daylight Time,,leptonia,iNaturalist,"May 17, 20179:32 AM PDT",,,,www.inaturalist.org/observations/6248462,https://static.inaturalist.org/photos/7855551/medium.jpg?1495038773,"University of California, Santa Cruz, Santa Cruz, CA, US",36.99912,-122.052,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"36.99912,-122.052"
,"May 5, 20179:13 PM PDT",5/4/17 0:00,,2017,12:21 PM PDT,Pacific Daylight Time,,leptonia,iNaturalist,"May 5, 20179:13 PM PDT",,,,www.inaturalist.org/observations/6107443,https://static.inaturalist.org/photos/7641906/medium.jpg?1494043995,"University of California, Santa Cruz, Santa Cruz, CA, US",36.99596,22.05147,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"36.99596,22.05147"
,"May 5, 20177:04 PM MDT",########,,2017,,Central Daylight Time,,bug_eric,iNaturalist,"May 5, 20177:04 PM MDT",,,,www.inaturalist.org/observations/6105775,https://static.inaturalist.org/photos/7639496/medium.jpg?1494032665,Broken Arrow Oklahoma,35.95958,-95.7498,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"35.95958,-95.7498"
,"Apr 20, 20176:02 AM EDT",########,,2017, 4:07 PM EDT,Eastern Time (US & Canada),,rcurtis,iNaturalist,"Apr 20, 20176:02 AM EDT",,,,www.inaturalist.org/observations/5869526,https://static.inaturalist.org/photos/7301169/medium.jpg?1492649256,"Indigo lake, oh",41.19106,-81.5859,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"41.19106,-81.5859"
,"Mar 17, 20176:15 PM CDT",########,,2017,,Central Daylight Time,,sambiology,iNaturalist,"Mar 17, 20176:15 PM CDT",,,,www.inaturalist.org/observations/5383613,https://static.inaturalist.org/photos/6610935/medium.jpeg?1489792539,"Cedar Hill State Park, Texas",32.61252,-96.9955,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"32.61252,-96.9955"
,"Mar 3, 201710:42 PM PST",3/3/17 0:00,,2017,12:09 PM PST,Pacific Daylight Time,,leptonia,iNaturalist,"Mar 3, 201710:42 PM PST",,,,www.inaturalist.org/observations/5221081,https://static.inaturalist.org/photos/6453213/medium.jpg?1488651485,"University of California, Santa Cruz, Santa Cruz, CA, US",36.99886,22.05169,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"36.99886,22.05169"
,"Feb 25, 201711:16 PM EST",########,,2017,12:40 PM EST,Eastern Time (US & Canada),,djm,iNaturalist,"Feb 25, 201711:16 PM EST",,,,www.inaturalist.org/observations/5180720,https://static.inaturalist.org/photos/6390116/medium.jpg?1488082904,"Cornell University, Ithaca, NY, US",42.44875,76.47549,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"42.44875,76.47549"
,"Nov 9, 20166:46 PM EST",########,,2016,06:13 PM EST,Eastern Time (US & Canada),,cjf,iNaturalist,"Nov 9, 20166:46 PM EST",,,,www.inaturalist.org/observations/4523861,https://static.inaturalist.org/photos/5477877/medium.jpg?1478735207,"1008–1026 Oakland Ave, Indiana, PA, US",40.61962,-79.1587,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"40.61962,-79.1587"
,"Nov 7, 20168:27 PM EST",########,,2014,04:09 PM EDT,Eastern Time (US & Canada),,treegrow,iNaturalist,"Nov 7, 20168:27 PM EST",,,,www.inaturalist.org/observations/4515435,https://static.inaturalist.org/photos/964887/medium.jpg?1444626248,"Washington, District of Columbia, United States",38.97566,-77.0449,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"38.97566,-77.0449"
,"Oct 15, 201611:31 AM EDT",8/1/16 0:00,,2016,09:23 PM EDT,Eastern Time (US & Canada),,calopteryx,iNaturalist,"Oct 15, 201611:31 AM EDT",,,,www.inaturalist.org/observations/4362835,https://static.inaturalist.org/photos/5226045/medium.jpeg?1476543842,"Highland Park, Arlington, VA",38.88838,77.15075,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"38.88838,77.15075"
,"Oct 9, 201612:12 AM EDT",9/2/16 0:00,,2016,02:45 PM EDT,Central European Summer Time,,calopteryx,iNaturalist,"Oct 9, 201612:12 AM EDT",,,,www.inaturalist.org/observations/4302883,https://static.inaturalist.org/photos/5164841/medium.jpeg?1475986084,"Pomena, Croatia",42.78693,17.34415,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"42.78693,17.34415"
,"Sep 5, 20169:36 PM EDT",9/3/16 0:00,,2016,02:16 PM EDT,Eastern Time (US & Canada),,rcurtis,iNaturalist,"Sep 5, 20169:36 PM EDT",,,,www.inaturalist.org/observations/4044998,https://static.inaturalist.org/photos/4787289/medium.jpg?1473125827,"Virginia Kendall Park, Peninsula, OH, US",41.22078,-81.5121,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"41.22078,-81.5121"
,"Sep 5, 201610:43 AM CDT",9/4/16 0:00,,2016,10:12 PM CDT,Eastern Time (US & Canada),,friel,iNaturalist,"Sep 5, 201610:43 AM CDT",,,,www.inaturalist.org/observations/4040488,https://static.inaturalist.org/photos/4779782/medium.jpeg?1473090212,"Tuscaloosa, Alabama, United States",33.26218,87.48442,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"33.26218,87.48442"
,"Aug 30, 201611:53 PM CDT",########,,2016,,Central Daylight Time,,sambiology,iNaturalist,"Aug 30, 201611:53 PM CDT",,,,www.inaturalist.org/observations/4000346,https://static.inaturalist.org/photos/4724659/medium.jpeg?1472619204,"Big Bend National Park, Texas",29.27393,-103.301,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"29.27393,-103.301"
,"Jun 24, 20162:54 PM EDT",5/7/16 0:00,,2016,02:17 PM EDT,Eastern Time (US & Canada),,calopteryx,iNaturalist,"Jun 24, 20162:54 PM EDT",,,,www.inaturalist.org/observations/3515008,https://static.inaturalist.org/photos/4092315/medium.JPG?1466784624,"Bear Island--Billy Goat Trail B, Great Falls, MD",38.97788,77.22505,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"38.97788,77.22505"
,"Jun 18, 20168:58 AM EDT",########,,2016,08:00 AM EDT,British Summer Time,,larry522,iNaturalist,"Jun 18, 20168:58 AM EDT",,,,www.inaturalist.org/observations/3476407,https://static.inaturalist.org/photos/4041340/medium.JPG?1466254733,random Colchester rec path,44.55456,73.18113,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"44.55456,73.18113"
,"Jun 7, 201610:18 AM CDT",########,,2016,11:20 PM CDT,Eastern Time (US & Canada),,jcabbott,iNaturalist,"Jun 7, 201610:18 AM CDT",,,,www.inaturalist.org/observations/3401188,https://static.inaturalist.org/photos/3935907/medium.jpg?1465312702,"Alabama, United States",33.33484,-87.7937,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"33.33484,-87.7937"
,"Apr 29, 20167:34 PM PDT",########,,2016,07:56 AM PDT,Eastern Time (US & Canada),,constance,iNaturalist,"Apr 29, 20167:34 PM PDT",,,,www.inaturalist.org/observations/3059746,https://static.inaturalist.org/photos/3524671/medium.jpg?1461983701,"696 SW 133rd Way, Newberry, FL, US",29.64659,82.48447,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"29.64659,82.48447"
,"Apr 25, 20165:37 PM CDT",########,,2016,02:49 PM CDT,Eastern Time (US & Canada),,friel,iNaturalist,"Apr 25, 20165:37 PM CDT",,,,www.inaturalist.org/observations/3032696,https://static.inaturalist.org/photos/3491058/medium.JPG?1461623869,"Tuscaloosa, Alabama, United States",33.21566,87.54946,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"33.21566,87.54946"
,"Aug 20, 20151:37 PM EDT",8/9/15 0:00,,2015,08:28 PM EDT,Eastern Time (US & Canada),,anita363,iNaturalist,"Aug 20, 20151:37 PM EDT",,,,www.inaturalist.org/observations/1876714,https://static.inaturalist.org/photos/2286689/medium.jpg?1444509189,"New Jersey, United States",40.49803,-74.4349,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"40.49803,-74.4349"
,"Jul 29, 20158:06 PM EDT",########,,2015,,Eastern Time (US & Canada),,khimmler,iNaturalist,"Jul 29, 20158:06 PM EDT",,,,www.inaturalist.org/observations/1814527,https://static.inaturalist.org/photos/2200432/medium.jpg?1438214807,Jamesburg Park,40.38809,-74.4262,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"40.38809,-74.4262"
,"Jul 15, 20159:05 AM EDT",########,,2015,,Eastern Time (US & Canada),,larry522,iNaturalist,"Jul 15, 20159:05 AM EDT",,,,www.inaturalist.org/observations/1765681,https://static.inaturalist.org/photos/2134997/medium.jpg?1436965519,Marsh-Billings-Rockefeller National Historical Park,43.63249,-72.5199,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"43.63249,-72.5199"
,"Aug 29, 20141:02 AM EDT",7/1/14 0:00,,2014,,Eastern Time (US & Canada),,calopteryx,iNaturalist,"Aug 29, 20141:02 AM EDT",,,,www.inaturalist.org/observations/852643,https://static.inaturalist.org/photos/1079955/medium.JPG?1409277241,"Burke, VA",38.79037,-77.2814,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"38.79037,-77.2814"
,"Jul 27, 201410:29 PM EDT",7/4/14 0:00,,2014,09:30 AM EDT,Eastern Time (US & Canada),,rcurtis,iNaturalist,"Jul 27, 201410:29 PM EDT",,,,www.inaturalist.org/observations/804805,https://static.inaturalist.org/photos/1014123/medium.JPG?1406514569,"Tallmadge, OH",41.10145,-81.4418,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"41.10145,-81.4418"
,"Jul 26, 201410:01 PM PDT",########,,2014,10:20 AM PDT,Pacific Daylight Time,,sea-kangaroo,iNaturalist,"Jul 26, 201410:01 PM PDT",,,,www.inaturalist.org/observations/803544,https://static.inaturalist.org/photos/1012479/medium.JPG?1406437328,"Blossom Valley, Mountain View, California, USA",37.37202,-122.092,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"37.37202,-122.092"
,"Wednesday, June 9, 2010",6/9/10 0:00,,2010,,Eastern Time (US & Canada),,John Chulick,Flickr,6/9/10 0:00,,,,http://www.flickr.com/photos/chulickphotos/4725528783/,http://c1.staticflickr.com/2/1031/4725528783_365b72d033_m.jpg,"Bells Ferry Place, Woodstock, Georgia",34.10149,-84.5194,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"34.10149,-84.5194"
,"Wednesday, October 11, 2006",########,,2006,,Pacific Daylight Time,,Cheryl Moorehead,Flickr,########,,,,http://www.flickr.com/photos/maximillian_millipede/276608398/,http://c1.staticflickr.com/1/120/276608398_f8eed29cf9_m.jpg,"Boulevard Park, Seattle, Washington, U.S.A.",47.48927,-122.315,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"47.48927,-122.315"
,"Sunday, February 8, 2015",2/8/15 0:00,,2015,,Central European Time,,Debouvry,Flickr,2/8/15 0:00,,,,http://www.flickr.com/photos/96517234@N05/16496385356/,http://c1.staticflickr.com/9/8621/16496385356_f95bf6cc6d_n.jpg,"Coccinelle, France",44.18599,0.57544,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"44.18599,0.57544"
,"Thursday, July 24, 2014",########,,2014,,Pacific Daylight Time,,Mollivan Jon,Flickr,########,,,,http://www.flickr.com/photos/mollivan_jon/15383958674/,http://c1.staticflickr.com/8/7559/15383958674_22679f1610.jpg,"College Park West, Seal Beach, California ",33.72557,-118.012,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"33.72557,-118.012"
,"Saturday, March 31, 2012",########,,2012,,Central Daylight Time,,Coastlander,Flickr,########,,,,http://www.flickr.com/photos/voodoosnakes/7046308175/,http://c1.staticflickr.com/8/7094/7046308175_6f370a977a_m.jpg,"Engelmann Woods Natural Area, Franklin Co. Missouri",38.57033,90.77818,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"38.57033,90.77818"
,"Friday, July 11, 2014",########,,2014,,British Summer Time,,Julian Hodgson,Flickr,########,,,,http://www.flickr.com/photos/julianhodgson/16434047581/,http://c1.staticflickr.com/8/7426/16434047581_e159c31d5e_n.jpg,"Holme Fen National Nature Reserve, Cambridgeshire",52.44805,-0.18485,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"52.44805,-0.18485"
,"Sunday, August 9, 2015",8/9/15 0:00,,2015,,Eastern Time (US & Canada),,Anita363,Flickr,8/9/15 0:00,,,,http://www.flickr.com/photos/anitagould/20534466058/,http://c1.staticflickr.com/6/5655/20534466058_c903aff594_m.jpg,"Middlesex, New Jersey, United States",40.5726,-74.4927,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"40.5726,-74.4927"
,"Tuesday, September 20, 2016",########,,2016,,Eastern Time (US & Canada),,Jesse Christopherson,Flickr,########,,,,http://www.flickr.com/photos/33338468@N00/30157275155/,http://c1.staticflickr.com/6/5765/30157275155_70b5a47cb9_n.jpg,"Mount Rainier, PGC, Maryland",38.9415,76.965,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"38.9415,76.965"
,"Wednesday, May 15, 2013",########,,2013,,Eastern Time (US & Canada),,BeetleBrained,Flickr,########,,,,http://www.flickr.com/photos/beetlebrained/8744786856/,http://c1.staticflickr.com/8/7292/8744786856_d98434acb5_n.jpg,"Patterson Park, Baltimore, United States ",39.2898,76.5763,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"39.2898,76.5763"
