Harmoniae Country,Has Hesperomyces?,Hesperomyces Country
Algeria,0,Canada 
Argentina,1,El Salvador
Armenia,0,Mexico
Austria,1,USA
Belarus,0,Argentina
Belgium,1,Colombia
Bolivia,0,Ecuador
Bosnia,1,Austria
Botswana,0,Belgium
Brazil,0,Bulgaria
Bulgaria,1,Croatia
Canada,0,Czech Republic
Chile,0,France
China,1,Germany
Colombia,1,Greece
Costa Rica,0,Hungary
Croatia,1,Italy
Cuba,0,Luxmebourg
Czechia,1,Montenegro
Denmark,0,Netherlands
Ecuador,1,Poland
Egypt,0,Romania
El Salvador,1,Russia
England,1,Serbia
Estonia,0,Slovakia
Finland,0,Switzerland
France,1,South Africa
Georgia,0,China
Germany,1,Japan
Greece,1,Turkey
Guatemala,0,England
Honduras,0,
Hungary,1,
India,0,
Iran,0,
Ireland,0,
Israel,0,
Italy,1,
Japan,1,
Kazakhstan,0,
Kenya,0,
Kyrgyzstan,0,
Latvia,0,
Lesotho,0,
Liechtenstein,0,
Lithuania,0,
Luxembourg,0,
Mexico,1,
Moldova,0,
Mongolia,0,
Montenegro,1,
Netherlands,1,
New Zealand,0,
North Ireland,0,
North Korea,0,
Norway,0,
Pakistan,0,
Panama,0,
Paraguay,0,
Peru,0,
Philippines,0,
Poland,1,
Portugal,0,
Romania,1,
Russia,1,
Saudi Arabia,0,
Scotland,0,
Serbia,1,
Slovakia,1,
Slovenia,0,
South Africa,1,
South Korea,0,
Spain,0,
Swaziland,0,
Sweden,0,
Switzerland,1,
Taiwan,0,
Tanzania,0,
Tunisia,0,
Turkey,1,
Ukraine,0,
Uruguay,0,
United States of America,1,
Venezuela,0,
Vietnam,0,
Wales,0,
Puerto Rico,0,
