DH #	Species	Thalli	Stage	Extraction_success	Extraction_success_bin	Storage	Extraction_made_months_after_collection	Extraction_made_years_after_collection
3962c	Laboulbenia temperei	2	ad	Successful	1	Good	1	0
3970a	Laboulbenia cristata	1	ad	Successful	1	Good	1	0
3970b	Laboulbenia cristata	1	ad	Successful	1	Good	1	0
3970c	Laboulbenia cristata	5	ad	Successful	1	Good	1	0
3970d	Laboulbenia cristata	5	ad	Successful	1	Good	1	0
4058a	Laboulbenia sp.	1	ad	Unsuccessful	0	Good	3	0
1746a	Laboulbenia casnoniae	3	ad	Successful	1	Uncertain	39	3
3964a	Laboulbenia flagellata	3	ad	Unsuccessful	0	Good	5	0
3971a	Laboulbenia vulgaris	2	ad	Unsuccessful	0	Good	5	0
3976a	Laboulbenia clivinalis	2	ad	Successful	1	Good	5	0
3978a	Laboulbenia inflata	2	ad	Unsuccessful	0	Good	5	0
3982b	Laboulbenia thaxteri	1	ad	Unsuccessful	0	Good	4	0
3982d	Laboulbenia thaxteri	1	ad	Successful	1	Good	4	0
4057a	Laboulbenia stilicicola	2	ad	Successful	1	Good	3	0
4059a	Laboulbenia vulgaris	3	ad	Successful	1	Good	3	0
4059b	Laboulbenia vulgaris	3	ad	Unsuccessful	0	Good	3	0
4083a	Laboulbenia ophoni	4	ad	Successful	1	Good	2	0
4089b	Laboulbenia vulgaris	1	ad	Unsuccessful	0	Good	4	0
4090b	Laboulbenia vulgaris	2	ad	Unsuccessful	0	Good	4	0
4093a	Laboulbenia eubradycelli	2	ad	Successful	1	Good	1	0
4147b	Laboulbenia pedicellata	1	ad	Unsuccessful	0	Good	1	0
4154a	Laboulbenia giardi	6	juv	Successful	1	Good	1	0
4155a	Laboulbenia slackensis	3	ad	Successful	1	Good	1	0
4173a	Laboulbenia pedicellata	3	ad	Successful	1	Good	1	0
4173b	Laboulbenia pedicellata	3	ad	Successful	1	Good	1	0
4181a	Laboulbenia galeritae	4	ad	Successful	1	Uncertain	2	0
4190a	Laboulbenia sp.	2	ad	Successful	1	Uncertain	2	0
4193a	Laboulbenia notiophili	2	ad	Successful	1	Good	4	0
4194b	Laboulbenia	1	ad	Successful	1	Uncertain	1	0
4195b	Laboulbenia perplexa	3	ad	Unsuccessful	0	Uncertain	1	0
4196a	Laboulbenia eubradycelli	2	ad	Unsuccessful	0	Good	1	0
4197b	Botryandromyces heteroceri	1	ad	Successful	1	Good	1	0
4199b	Laboulbenia spissa	2	ad	Successful	1	Uncertain	3	0
4202b	Laboulbenia insigninoda	1	ad	Successful	1	Uncertain	3	0
4203a	Laboulbenia insigninoda	2	ad	Successful	1	Uncertain	3	0
4208a	Laboulbenia eubradycelli	2	ad	Successful	1	Good	1	0
3966a	Laboulbenia flagellata	5	ad	Successful	1	Good	7	0
4057c	Laboulbenia stilicicola	5	juv	Successful	1	Good	5	0
4062a	Laboulbenia thaxteri	3	ad	Successful	1	Good	5	0
4090c	Laboulbenia sp.	7	juv	Successful	1	Good	5	0
4182b	Laboulbenia galeritae	2	ad	Successful	1	Uncertain	3	0
4195c	Laboulbenia perplexa	2	ad	Successful	1	Uncertain	3	0
4196b	Laboulbenia eubradycelli	6	ad	Successful	1	Good	1	0
4231b	Laboulbenia vulgaris	5	juv	Successful	1	Good	1	0
4235a	Laboulbenia notiophili	4	juv	Successful	1	Good	1	0
3035a	Laboulbenia argutoris	5	ad	Successful	1	Good	42	3
3041a	Laboulbenia elaphri	10	juv	Unsuccessful	0	Uncertain	77	6
3042a	Laboulbenia elaphri	2	ad	Unsuccessful	0	Uncertain	87	7
3044a	Laboulbenia fasciculata	4	ad	Successful	1	Good	37	3
3045a	Laboulbenia fasciculata	3	ad	Successful	1	Good	38	3
3064a	Laboulbenia pseudomasei	5	juv	Unsuccessful	0	Good	87	7
4103a	Laboulbenia elaphricola	4	ad	Successful	1	Good	38	3
