DH	Species	Thalli	Stage	BSA_added	RepliG	Extraction_success	Extraction_success_bin	Storage	BSA_and_RepliG
3962c	Laboulbenia temperei	2	ad	No	normal	Successful	1	Good	No and normal
3970a	Laboulbenia cristata	1	ad	No	normal	Successful	1	Good	No and normal
3970b	Laboulbenia cristata	1	ad	No	normal	Successful	1	Good	No and normal
3970c	Laboulbenia cristata	5	ad	No	normal	Successful	1	Good	No and normal
3970d	Laboulbenia cristata	5	ad	No	normal	Successful	1	Good	No and normal
4058a	Laboulbenia sp.	1	ad	No	normal	Unsuccessful	0	Good	No and normal
1746a	Laboulbenia casnoniae	3	ad	No	normal	Successful	1	Uncertain	No and normal
3964a	Laboulbenia flagellata	3	ad	No	halved	Unsuccessful	0	Good	No and halved
3971a	Laboulbenia vulgaris	2	ad	No	normal	Unsuccessful	0	Good	No and normal
3976a	Laboulbenia clivinalis	2	ad	No	halved	Successful	1	Good	No and halved
3978a	Laboulbenia inflata	2	ad	No	normal	Unsuccessful	0	Good	No and normal
3982b	Laboulbenia thaxteri	1	ad	No	halved	Unsuccessful	0	Good	No and halved
3982d	Laboulbenia thaxteri	1	ad	No	halved	Successful	1	Good	No and halved
4057a	Laboulbenia stilicicola	2	ad	No	normal	Successful	1	Good	No and normal
4059a	Laboulbenia vulgaris	3	ad	No	normal	Successful	1	Good	No and normal
4059b	Laboulbenia vulgaris	3	ad	No	halved	Unsuccessful	0	Good	No and halved
4083a	Laboulbenia ophoni	4	ad	No	normal	Successful	1	Good	No and normal
4089b	Laboulbenia vulgaris	1	ad	No	normal	Unsuccessful	0	Good	No and normal
4090b	Laboulbenia vulgaris	2	ad	No	normal	Unsuccessful	0	Good	No and normal
4093a	Laboulbenia eubradycelli	2	ad	No	halved	Successful	1	Good	No and halved
4147b	Laboulbenia pedicellata	1	ad	No	normal	Unsuccessful	0	Good	No and normal
4154a	Laboulbenia giardi	6	juv	No	halved	Successful	1	Good	No and halved
4155a	Laboulbenia slackensis	3	ad	No	normal	Successful	1	Good	No and normal
4173a	Laboulbenia pedicellata	3	ad	No	normal	Successful	1	Good	No and normal
4173b	Laboulbenia pedicellata	3	ad	No	halved	Successful	1	Good	No and halved
4181a	Laboulbenia galeritae	4	ad	No	normal	Successful	1	Uncertain	No and normal
4190a	Laboulbenia sp.	2	ad	No	halved	Successful	1	Uncertain	No and halved
